producer,period,value
Pinnacle Agency Partners,Jan-2026,12299.66
Apex Insurance Brokers,Jan-2026,28850.98
Metro Agency Group,Jan-2026,32392.96
Coastal Risk Advisors,Jan-2026,36845.68
Sunrise Producers LLC,Jan-2026,14931.18
MJC Agency Group,Jan-2026,15458.7
Pinnacle Agency Partners,Feb-2026,35117.88
Apex Insurance Brokers,Feb-2026,33239.15
Metro Agency Group,Feb-2026,8067.39
Coastal Risk Advisors,Feb-2026,8978.88
Sunrise Producers LLC,Feb-2026,21507.73
MJC Agency Group,Feb-2026,15387.73
Pinnacle Agency Partners,Mar-2026,32440.79
Apex Insurance Brokers,Mar-2026,11003.51
Metro Agency Group,Mar-2026,22252.39
Coastal Risk Advisors,Mar-2026,8814.27
Sunrise Producers LLC,Mar-2026,8929.31
MJC Agency Group,Mar-2026,15000.99
Pinnacle Agency Partners,Apr-2026,16162.21
Apex Insurance Brokers,Apr-2026,8907.12
Metro Agency Group,Apr-2026,31089.28
Coastal Risk Advisors,Apr-2026,25325.2
Sunrise Producers LLC,Apr-2026,15094.13
MJC Agency Group,Apr-2026,22707.31
Pinnacle Agency Partners,May-2026,23853.92
Apex Insurance Brokers,May-2026,34744.48
Metro Agency Group,May-2026,15320.39
Coastal Risk Advisors,May-2026,38052.77
Sunrise Producers LLC,May-2026,22012.4
MJC Agency Group,May-2026,17273.01
Pinnacle Agency Partners,Jun-2026,22383.71
Apex Insurance Brokers,Jun-2026,21848.55
Metro Agency Group,Jun-2026,38248.66
Coastal Risk Advisors,Jun-2026,20198.54
Sunrise Producers LLC,Jun-2026,23865.99
MJC Agency Group,Jun-2026,8687.67
