ref,code,flag,val1,val2,val3,val4,val5,val6,val7
REF0002,A,0,8.49,83.55,73.6,66.97,30.81,60.59,60.68
REF0003,C,0,99.97,63.85,80.37,86.02,50.91,37.21,93.57
REF0004,C,1,90.12,87.1,36.4,93.18,90.78,42.36,88.41
REF0005,A,0,23.61,2.39,32.51,13.67,51.02,99.87,67.45
REF0006,A,1,79.68,73.44,90.66,76.29,78.97,35.38,98.1
REF0007,B,0,95.49,39.99,73.86,65.49,24.99,27.91,49.81
REF0008,C,1,66.17,45.47,90.32,35.08,72.59,55.76,45.66
REF0009,C,0,94.06,81.47,83.5,87.67,61.63,77.3,47.98
REF0010,B,1,31.18,20.78,51.19,93.42,62.33,7.54,82.04
REF0011,C,0,90.77,19.14,74.48,5.88,65.29,27.31,22.66
REF0012,A,0,85.39,24.48,21.05,88.06,42.29,71.7,3.19
REF0013,B,1,17.19,67.28,8.29,95.46,2.53,72.94,2.11
REF0014,B,0,81.34,15.71,18.37,69.15,38.56,4.32,99.0
REF0015,A,0,0.42,93.85,62.78,74.77,28.6,48.88,30.84
REF0016,C,0,90.2,75.57,86.24,70.53,47.28,22.55,66.08
REF0017,B,0,2.42,78.84,94.81,51.83,78.11,48.69,32.8
REF0018,B,1,26.18,97.07,65.33,69.95,95.9,67.06,25.3
REF0019,A,0,17.07,45.34,23.17,91.64,70.81,3.14,24.68
REF0020,C,1,7.35,8.04,22.82,79.16,62.39,35.98,68.46
REF0021,B,0,15.11,38.48,16.02,51.21,8.78,10.19,1.98
REF0022,A,0,21.74,52.07,46.44,30.97,64.18,21.24,90.66
REF0023,A,1,42.56,2.13,59.13,88.14,92.89,58.13,92.06
REF0024,C,1,36.62,51.92,92.15,61.05,28.96,98.35,37.22
REF0025,A,1,10.12,30.59,84.06,67.26,1.57,45.14,41.07
REF0026,B,1,20.82,58.87,7.38,28.44,37.29,93.53,7.65
REF0027,B,0,11.58,37.34,71.59,13.97,34.49,88.77,25.42
REF0028,A,0,61.65,33.45,39.11,21.2,10.54,61.82,47.04
REF0029,A,1,29.08,95.96,14.15,37.49,48.42,86.58,71.95
REF0030,C,1,93.21,83.6,29.68,23.16,48.88,25.94,42.77
REF0031,C,0,58.59,81.79,9.59,35.61,99.77,14.65,41.68
REF0032,A,0,91.14,68.14,80.98,3.76,97.39,39.06,70.84
REF0033,C,1,43.88,52.4,11.21,54.09,94.99,75.58,9.62
REF0034,C,0,71.54,25.73,89.49,46.09,70.32,40.42,99.51
REF0035,C,0,46.67,71.89,80.97,38.33,73.68,39.29,5.36
REF0036,B,1,25.37,73.12,41.21,64.79,36.01,54.76,71.33
REF0037,C,0,76.16,85.21,22.5,62.12,40.27,66.7,97.72
REF0038,C,0,31.29,52.36,90.67,46.63,17.74,9.44,40.29
REF0039,A,1,90.53,88.47,10.05,81.56,76.7,19.95,74.42
REF0040,C,0,48.98,61.19,0.85,67.87,48.21,51.34,17.36
REF0041,C,0,97.24,76.02,35.02,90.57,53.32,66.91,6.54
