profit_center_name,profit_center_number,producer_agency_name,insurance_company_name,premium,policy_number,accounting_effective_date,commission_pct
East Zone PC,1079,Metro Agency Group,Heritage Casualty Co,12486.7,POL-600001,2026-01-01,12.3
South Zone PC,1007,Pinnacle Agency Partners,Zenith Insurance Group,18786.34,POL-600002,2026-01-08,19.63
North Zone PC,1004,Coastal Risk Advisors,Global Assurance Corp,11624.81,POL-600003,2026-01-15,17.03
North Zone PC,1038,Pinnacle Agency Partners,Heritage Casualty Co,15030.96,POL-600004,2026-01-22,10.0
North Zone PC,1082,Metro Agency Group,Liberty Mutual,29278.27,POL-600005,2026-01-29,13.23
South Zone PC,1055,Coastal Risk Advisors,National Indemnity Co,38701.69,POL-600006,2026-02-05,9.68
West Zone PC,1003,Sunrise Producers LLC,Global Assurance Corp,24274.04,POL-600007,2026-02-12,5.93
East Zone PC,1096,Coastal Risk Advisors,Liberty Mutual,9710.56,POL-600008,2026-02-19,18.55
East Zone PC,1000,Coastal Risk Advisors,Liberty Mutual,38901.66,POL-600009,2026-02-26,17.91
West Zone PC,1080,Apex Insurance Brokers,National Indemnity Co,31917.16,POL-600010,2026-03-05,14.45
