source_sheet,profit_center_name,profit_center_number,producer_agency_name,insurance_company_name,premium,policy_number,accounting_effective_date,commission_pct
Jan,Assurant Inc,PC0001,Brown & Brown,Harrier,19559.67,POL-200001,2026-01-01,11.06
Jan,Assurant Inc,PC0001,Pinnacle Agency Partners,Zenith Insurance Group,18149.08,POL-200002,2026-01-02,17.96
Jan,Assurant Inc,PC0001,Apex Insurance Brokers,Heritage Casualty Co,25043.47,POL-200003,2026-01-03,5.98
Jan,Assurant Inc,PC0001,Metro Agency Group,National Indemnity Co,7712.37,POL-200004,2026-01-04,18.13
Jan,Assurant Inc,PC0001,Coastal Risk Advisors,Liberty Mutual,38958.73,POL-200005,2026-01-05,8.15
Jan,Assurant Inc,PC0001,Sunrise Producers LLC,Heritage Casualty Co,37791.99,POL-200010,2026-01-06,11.25
Jan,Assurant Inc,PC0001,Pinnacle Agency Partners,National Indemnity Co,30414.24,POL-200006,2026-01-07,5.14
Jan,Assurant Inc,PC0001,Coastal Risk Advisors,Heritage Casualty Co,37135.46,POL-200007,2026-01-08,11.61
Jan,Assurant Inc,PC0001,Apex Insurance Brokers,Global Assurance Corp,31206.02,POL-200008,2026-01-09,14.26
Jan,Assurant Inc,PC0001,Metro Agency Group,Global Assurance Corp,33761.26,POL-200009,2026-01-10,13.17
Feb,Assurant Inc,PC0001,Brown & Brown,Harrier,19559.67,POL-200001,2026-02-01,11.06
Feb,Assurant Inc,PC0001,Pinnacle Agency Partners,Zenith Insurance Group,18149.08,POL-200002,2026-02-02,17.96
Feb,Assurant Inc,PC0001,Apex Insurance Brokers,Heritage Casualty Co,25043.47,POL-200003,2026-02-03,5.98
Feb,Assurant Inc,PC0001,Metro Agency Group,National Indemnity Co,7712.37,POL-200004,2026-02-04,18.13
Feb,Assurant Inc,PC0001,Coastal Risk Advisors,Liberty Mutual,38958.73,POL-200005,2026-02-05,8.15
Feb,Assurant Inc,PC0001,Sunrise Producers LLC,Heritage Casualty Co,37791.99,POL-200010,2026-02-06,11.25
Feb,Assurant Inc,PC0001,Pinnacle Agency Partners,National Indemnity Co,30414.24,POL-200006,2026-02-07,5.14
Feb,Assurant Inc,PC0001,Coastal Risk Advisors,Heritage Casualty Co,37135.46,POL-200007,2026-02-08,11.61
Feb,Assurant Inc,PC0001,Apex Insurance Brokers,Global Assurance Corp,31206.02,POL-200008,2026-02-09,14.26
Feb,Assurant Inc,PC0001,Metro Agency Group,Global Assurance Corp,33761.26,POL-200009,2026-02-10,13.17
